App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Revenue Estimate,Review Engagement,Install Group,Rating Class
AI Dash 2026,Photography,2.7,5,87.9,500,Free,0.0,Everyone,Photography,23-01-2025,10.5.92,0.0,0.01,Low,Average
AI Dash App,Dating,4.0,1,27.7,100,Free,0.0,Mature 17+,Dating;Creativity,26-09-2023,14.16.50,0.0,0.01,Low,Good
AI Dash Now,Travel_And_Local,5.0,11,70.5,500,Paid,1.99,Everyone,Travel And Local,28-09-2025,2.17.65,995.0,0.022,Low,Excellent
AI Drive,Food_And_Drink,4.2,26,62.8,1000,Free,0.0,Everyone,Food And Drink,26-04-2024,11.6.90,0.0,0.026,Low,Good
AI Drive 3D 2025,Social,4.0,2,91.6,50,Free,0.0,Everyone,Family;Creativity,18-08-2024,10.5.35,0.0,0.04,Low,Good
AI Drive Now,Game,5.0,1581,96.4,50000,Free,0.0,Everyone,Game;Simulation,05-01-2026,13.4.94,0.0,0.03162,Medium,Excellent
AI Drive Pro 2023,Music,3.7,31,140.5,1000,Free,0.0,Teen,Tools,23-04-2026,7.4.85,0.0,0.031,Low,Good
AI Drive Space,Social,4.3,33847,131.6,1000000,Free,0.0,Everyone 10+,Artificial Intelligence,04-03-2026,4.7.41,0.0,0.033847,High,Good
AI Editor,Communication,4.7,187,105.5,5000,Free,0.0,Teen,Communication,14-06-2025,7.20.38,0.0,0.0374,Low,Excellent
AI Editor 2025,Auto_And_Vehicles,4.2,3,7.8,50,Free,0.0,Mature 17+,Auto And Vehicles,23-03-2026,7.8.30,0.0,0.06,Low,Good
AI Editor Now,Beauty,4.0,1,125.6,100,Free,0.0,Everyone,Beauty;Creativity,28-07-2025,11.20.7,0.0,0.01,Low,Good
AI Editor Pro,Productivity,4.0,1,15.2,100,Free,0.0,Everyone,Productivity,11-10-2024,6.6.48,0.0,0.01,Low,Good
AI Fit,Social,4.2,1944,44.1,50000,Free,0.0,Teen,Family,12-02-2025,6.11.49,0.0,0.03888,Medium,Good
AI Fit Hub,Music,4.0,2,140.6,50,Free,0.0,Everyone 10+,Tools,06-04-2025,8.19.49,0.0,0.04,Low,Good
AI Fit Max,Productivity,3.8,1284,40.9,50000,Free,0.0,Everyone 10+,Productivity,04-05-2026,5.9.33,0.0,0.02568,Medium,Good
AI Fit Now,Social,2.3,4378,52.5,100000,Free,0.0,Everyone,Family,06-03-2026,13.9.90,0.0,0.04378,Medium,Poor
AI Fit Plus,Music,3.8,5,137.8,100,Free,0.0,Everyone,Tools,22-04-2026,3.15.19,0.0,0.05,Low,Good
AI Fit Premium,Social,3.8,365,90.05,10000,Free,0.0,Everyone,Medical,14-08-2025,Varies with device,0.0,0.0365,Low,Good
AI Fit Pro,Photography,3.8,1904,259.5,50000,Free,0.0,Mature 17+,Photography,01-12-2025,8.9.74,0.0,0.03808,Medium,Good
AI Fit Space,Game,4.3,18,1075.4,500,Free,0.0,Teen,Game;Casual,12-12-2023,10.12.53,0.0,0.036,Low,Good
AI Health,Social,4.7,407,38.0,10000,Free,0.0,Everyone,Family,11-12-2023,12.1.32,0.0,0.0407,Low,Excellent
AI Health 3D,Finance,4.0,3,10.7,10,Free,0.0,Everyone,Finance,16-10-2025,6.7.0,0.0,0.3,Low,Good
AI Health AI,Social,4.1,3,50.1,50,Free,0.0,Everyone,Art And Design,02-04-2026,13.19.64,0.0,0.06,Low,Good
AI Health Hub,Social,4.4,240,100.8,5000,Free,0.0,Everyone,Family,02-04-2025,5.18.24,0.0,0.048,Low,Good
AI Health Now,Productivity,4.1,2002,121.7,50000,Free,0.0,Teen,Productivity,05-07-2025,12.14.47,0.0,0.04004,Medium,Good
AI Health Plus,Finance,4.0,3,90.05,100,Free,0.0,Everyone,Finance,31-08-2025,Varies with device,0.0,0.03,Low,Good
AI Health Plus 2024,Travel_And_Local,4.0,2,90.05,50,Free,0.0,Everyone,Travel And Local,07-01-2026,Varies with device,0.0,0.04,Low,Good
AI Instagram,Productivity,4.5,455,143.9,10000,Free,0.0,Everyone,Productivity;Creativity,30-12-2025,13.15.32,0.0,0.0455,Low,Good
AI Instagram 3D,Personalization,4.2,129,137.9,10000,Free,0.0,Everyone 10+,Personalization,07-11-2025,10.3.77,0.0,0.0129,Low,Good
AI Instagram Hub,Comics,4.4,7,36.5,500,Paid,4.99,Adults only 18+,Comics,28-11-2023,1.17.87,2495.0,0.014,Low,Good
AI Instagram Premium,Social,3.2,5,144.2,50,Free,0.0,Teen,Social;Creativity,19-11-2025,2.19.98,0.0,0.1,Low,Average
AI Learn,Entertainment,3.7,100,140.1,5000,Free,0.0,Everyone,Entertainment,17-04-2026,5.7.32,0.0,0.02,Low,Good
AI Learn App,Game,4.0,20,385.5,500,Free,0.0,Everyone,Game;Shooter,21-09-2025,12.14.41,0.0,0.04,Low,Good
AI Learn Hub,Beauty,3.8,25,78.4,1000,Free,0.0,Mature 17+,Beauty,06-03-2024,15.1.50,0.0,0.025,Low,Good
AI Learn Max,Social,4.0,0,42.2,100,Free,0.0,Everyone,Family,04-07-2025,4.9.50,0.0,0.0,Low,Good
AI Learn Premium,Finance,4.8,195,100.9,5000,Free,0.0,Everyone,Finance,30-03-2026,11.4.84,0.0,0.039,Low,Excellent
AI Learn Space,Game,2.8,16,1579.0,1000,Free,0.0,Everyone,Game;Puzzle,10-03-2026,10.0.18,0.0,0.016,Low,Average
AI Maker,Auto_And_Vehicles,4.5,12,32.7,500,Free,0.0,Everyone,Auto And Vehicles,06-03-2026,15.4.38,0.0,0.024,Low,Good
AI Maker 2023,Entertainment,4.0,4,135.5,100,Free,0.0,Everyone 10+,Entertainment;Creativity,14-09-2024,6.4.53,0.0,0.04,Low,Good
AI Maker 2026,Social,4.3,0,91.1,10,Free,0.0,Everyone,Artificial Intelligence,20-10-2025,8.4.26,0.0,0.0,Low,Good
AI Maker 3D,Game,4.2,23,1683.1,1000,Free,0.0,Teen,Game;Card,27-04-2026,8.18.64,0.0,0.023,Low,Good
AI Maker Max,News_And_Magazines,4.1,3,90.05,10,Free,0.0,Teen,News And Magazines;Creativity,22-09-2025,Varies with device,0.0,0.3,Low,Good
AI Maker Now,Finance,4.9,6,90.05,500,Free,0.0,Everyone,Finance,30-05-2026,Varies with device,0.0,0.012,Low,Excellent
AI Pay,Social,4.8,170,104.5,5000,Free,0.0,Everyone,Artificial Intelligence,16-04-2025,7.11.33,0.0,0.034,Low,Excellent
AI Pay 2023,Social,4.0,4,56.3,10,Free,0.0,Everyone,Family,30-01-2025,13.10.27,0.0,0.4,Low,Good
AI Pay Plus,Social,4.4,2148,83.8,100000,Free,0.0,Everyone,Family,22-12-2025,5.13.17,0.0,0.02148,Medium,Good
AI Pay Premium,Virtual_Reality,4.0,4,288.3,50,Free,0.0,Everyone,Virtual Reality;Creativity,03-11-2024,1.4.74,0.0,0.08,Low,Good
AI Player,Dating,4.4,2939,57.5,100000,Free,0.0,Adults only 18+,Dating,14-03-2025,15.18.1,0.0,0.02939,Medium,Good
AI Player 3D,Social,4.9,5,270.8,50,Free,0.0,Everyone,Art And Design,12-10-2025,15.5.82,0.0,0.1,Low,Excellent
AI SnapChat,Game,4.3,2,90.05,10,Free,0.0,Everyone 10+,Game;Strategy,15-03-2026,Varies with device,0.0,0.2,Low,Good
AI Strike,Productivity,4.3,9803,111.4,500000,Free,0.0,Everyone,Productivity,20-04-2026,4.16.41,0.0,0.019606,High,Good
AI Strike 3D,Social,4.3,3,58.9,100,Free,0.0,Everyone,Artificial Intelligence;Creativity,13-06-2025,4.19.85,0.0,0.03,Low,Good
AI Strike Max,Social,5.0,770,21.8,50000,Free,0.0,Everyone,Family,27-12-2022,8.1.64,0.0,0.0154,Medium,Excellent
AI Strike Online,Game,4.6,46,869.1,1000,Free,0.0,Adults only 18+,Game;Strategy,07-05-2026,11.4.58,0.0,0.046,Low,Excellent
AI Strike Premium,Social,5.0,8,38.8,500,Free,0.0,Everyone,Family,02-04-2025,3.13.26,0.0,0.016,Low,Excellent
AI Strike Space,Game,3.1,46,848.3,1000,Free,0.0,Everyone 10+,Game;Board,27-06-2025,2.9.4,0.0,0.046,Low,Average
AI Telegram,Game,4.2,162,90.05,5000,Free,0.0,Everyone,Game;Simulation,02-06-2025,Varies with device,0.0,0.0324,Low,Good
AI Telegram AI,Social,3.4,27,21.7,1000,Free,0.0,Everyone,Family;Creativity,05-08-2024,6.6.69,0.0,0.027,Low,Average
AI Telegram App,Shopping,4.9,19,90.05,1000,Free,0.0,Everyone,Shopping,22-01-2026,Varies with device,0.0,0.019,Low,Excellent
AI Telegram Now,Health_And_Fitness,3.9,1,123.4,50,Free,0.0,Everyone,Health And Fitness,17-12-2023,8.2.71,0.0,0.02,Low,Good
AI Tracker,Music,3.3,1542,109.9,50000,Free,0.0,Everyone 10+,Tools,03-04-2025,6.10.58,0.0,0.03084,Medium,Average
AI Tracker 3D,News_And_Magazines,4.1,1,140.5,10,Free,0.0,Everyone,News And Magazines,21-05-2025,6.18.62,0.0,0.1,Low,Good
AI Tracker Go 2025,Travel_And_Local,4.0,383,108.7,10000,Free,0.0,Everyone,Travel And Local,28-06-2026,14.18.33,0.0,0.0383,Low,Good
AI Tracker Now,Social,4.3,1,44.2,100,Free,0.0,Teen,Artificial Intelligence;Creativity,16-12-2025,10.1.84,0.0,0.01,Low,Good
AI Tracker Online,Books_And_Reference,3.6,30,90.6,1000,Free,0.0,Everyone,Books And Reference,07-07-2025,5.18.23,0.0,0.03,Low,Good
AI VPN,Music,3.9,2136,19.6,100000,Free,0.0,Teen,Tools,18-06-2026,9.14.85,0.0,0.02136,Medium,Good
AI VPN 2026,Parenting,4.1,2,104.8,100,Paid,2.99,Everyone,Parenting;Creativity,15-05-2026,1.7.19,299.0,0.02,Low,Good
AI VPN App,Social,4.5,162,82.0,10000,Free,0.0,Everyone,Artificial Intelligence,07-07-2023,1.6.24,0.0,0.0162,Low,Good
AI VPN Hub,Finance,4.3,5,117.4,50,Free,0.0,Everyone,Finance;Creativity,10-08-2025,7.18.11,0.0,0.1,Low,Good
AI VPN Online,Social,3.5,21160,50.9,500000,Free,0.0,Everyone,Family,20-08-2025,6.0.90,0.0,0.04232,High,Average
AI VPN Premium,Social,4.5,20003,31.0,1000000,Free,0.0,Everyone,Family;Creativity,24-06-2026,8.5.58,0.0,0.020003,High,Good
AI VPN Pro,Social,3.6,9,102.9,500,Free,0.0,Everyone,Family,25-06-2026,5.2.95,0.0,0.018,Low,Good
AI Wallet,Game,3.8,4217,90.05,100000,Free,0.0,Everyone,Game;Puzzle,17-05-2026,Varies with device,0.0,0.04217,Medium,Good
AI Wallet 2024,Music,3.4,109,62.6,10000,Free,0.0,Everyone 10+,Tools,18-09-2024,1.12.4,0.0,0.0109,Low,Average
AI Wallet AI,Virtual_Reality,3.6,61,170.7,5000,Free,0.0,Teen,Virtual Reality,28-04-2026,8.0.39,0.0,0.0122,Low,Good
AI Wallet Max,Video_Players,4.2,3,260.9,10,Free,0.0,Everyone,Video Players,05-10-2024,2.0.100,0.0,0.3,Low,Good
AI Wallet Pro,Auto_And_Vehicles,4.2,3,108.9,100,Free,0.0,Everyone,Auto And Vehicles;Creativity,17-04-2026,12.2.38,0.0,0.03,Low,Good
AI Wallet Space,Photography,4.5,5799,90.05,1000000,Free,0.0,Everyone,Photography,28-02-2025,Varies with device,0.0,0.005799,High,Good
AI Wallet_4071,Social,3.9,1,21.0,10,Free,0.0,Teen,Social,30-03-2026,8.13.85,0.0,0.1,Low,Good
Browser,Maps_And_Navigation,4.1,92078,109.7,5000000,Paid,4.99,Everyone,Maps And Navigation,14-11-2025,6.17.15,24950000.0,0.0184156,Very High,Good
Browser 2023,Productivity,4.6,3333,25.7,100000,Free,0.0,Everyone,Productivity,03-02-2025,6.18.0,0.0,0.03333,Medium,Excellent
Browser 2024,Health_And_Fitness,4.7,21,71.4,1000,Free,0.0,Everyone,Health And Fitness,04-02-2026,13.7.29,0.0,0.021,Low,Excellent
Browser 2025,Social,4.0,223,90.05,5000,Free,0.0,Everyone,Family,14-11-2024,Varies with device,0.0,0.0446,Low,Good
Browser 2026,House_And_Home,4.9,25,85.7,5000,Free,0.0,Everyone,House And Home,14-10-2025,9.11.87,0.0,0.005,Low,Excellent
Browser 3D,Maps_And_Navigation,4.3,2403,35.9,50000,Free,0.0,Mature 17+,Maps And Navigation,23-11-2025,5.4.36,0.0,0.04806,Medium,Good
Browser 3D_5681,Social,4.1,57,98.2,10000,Free,0.0,Everyone,Social;Creativity,06-01-2026,4.5.31,0.0,0.0057,Low,Good
Browser AI,Dating,3.6,5,43.0,1000,Free,0.0,Mature 17+,Dating,19-05-2026,6.8.73,0.0,0.005,Low,Good
Browser AI 2023_7096,Social,4.0,5,142.9,100,Free,0.0,Everyone,Artificial Intelligence,30-05-2025,12.6.91,0.0,0.05,Low,Good
Browser AI 2026,Libraries_And_Demo,3.6,5,135.1,10,Free,0.0,Teen,Libraries And Demo,10-01-2025,2.1.45,0.0,0.5,Low,Good
Browser App,Game,3.7,3715,1178.9,100000,Free,0.0,Everyone,Game;Card,11-05-2026,15.11.52,0.0,0.03715,Medium,Good
Browser App 2025,Social,4.4,4514,90.05,100000,Free,0.0,Everyone,Social,26-03-2026,Varies with device,0.0,0.04514,Medium,Good
Browser Go,Game,3.3,2349,731.5,50000,Free,0.0,Everyone,Game;Puzzle,02-06-2025,11.13.77,0.0,0.04698,Medium,Average
Browser Go 2023,Productivity,4.7,11,126.4,500,Free,0.0,Adults only 18+,Productivity,24-03-2024,10.15.85,0.0,0.022,Low,Excellent
Browser Go 2024,Social,4.5,18,128.7,500,Free,0.0,Everyone 10+,Social,26-05-2026,15.7.66,0.0,0.036,Low,Good
Browser Go 2025,Productivity,4.2,3087,90.05,100000,Free,0.0,Everyone,Productivity,19-08-2022,Varies with device,0.0,0.03087,Medium,Good
Browser Go_2765,Social,3.7,5,97.9,50,Free,0.0,Everyone,Family,12-05-2026,9.8.50,0.0,0.1,Low,Good
Browser Hub,Game,5.0,312503,942.5,10000000,Free,0.0,Everyone,Game;Casual,10-01-2024,8.2.72,0.0,0.0312503,Very High,Excellent
Browser Hub 2026,Web3_And_Crypto,4.1,3,40.4,100,Free,0.0,Mature 17+,Web3 And Crypto,02-11-2025,6.14.24,0.0,0.03,Low,Good
Browser Hub_8843,Personalization,4.0,4,111.6,100,Free,0.0,Everyone,Personalization,01-08-2025,2.1.7,0.0,0.04,Low,Good
Browser Max,Food_And_Drink,4.4,754,43.3,100000,Free,0.0,Everyone,Food And Drink,16-12-2024,6.14.74,0.0,0.00754,Medium,Good
Browser Max 2023,Comics,3.9,1,50.3,50,Free,0.0,Everyone,Comics,10-05-2026,1.9.60,0.0,0.02,Low,Good
Browser Max 2024,Game,4.3,19846,1025.8,500000,Free,0.0,Everyone,Game;Simulation,20-11-2025,8.10.32,0.0,0.039692,High,Good
Browser Max 2025,Productivity,3.2,5,90.05,10,Free,0.0,Everyone,Productivity,18-04-2023,Varies with device,0.0,0.5,Low,Average
Browser Online,Game,3.4,796,1553.5,50000,Free,0.0,Everyone,Game;Strategy,10-04-2026,3.14.83,0.0,0.01592,Medium,Average
Browser Online 2023,Game,4.8,16,1134.7,500,Free,0.0,Everyone,Game;Simulation,10-03-2025,14.16.15,0.0,0.032,Low,Excellent
Browser Plus,Game,4.1,18,1704.4,1000,Free,0.0,Everyone,Game;Action,07-04-2026,3.20.56,0.0,0.018,Low,Good
Browser Plus 2024,Lifestyle,4.0,2,18.5,50,Free,0.0,Everyone,Lifestyle,20-05-2024,7.13.90,0.0,0.04,Low,Good
Browser Plus 2025,Shopping,3.1,275,53.5,10000,Free,0.0,Everyone,Shopping,28-03-2026,4.19.79,0.0,0.0275,Low,Average
Browser Premium,Sports,3.3,11243,9.8,1000000,Free,0.0,Everyone,Sports;Creativity,25-09-2025,1.19.51,0.0,0.011243,High,Average
Browser Premium 2023,Health_And_Fitness,3.9,0,96.3,10,Free,0.0,Everyone 10+,Health And Fitness,25-04-2026,15.18.96,0.0,0.0,Low,Good
Browser Premium_8958,Productivity,4.0,2,123.7,100,Free,0.0,Everyone,Productivity,17-11-2023,13.15.5,0.0,0.02,Low,Good
Browser Pro,Social,3.9,23290,100.2,1000000,Free,0.0,Teen,Artificial Intelligence;Creativity,21-12-2025,1.3.91,0.0,0.02329,High,Good
Browser Space,Social,4.5,1632,93.2,50000,Free,0.0,Everyone 10+,Family,09-04-2026,10.13.41,0.0,0.03264,Medium,Good
Browser Space 2023,Social,4.0,0,55.5,50,Free,0.0,Everyone,Medical;Creativity,09-01-2025,3.17.87,0.0,0.0,Low,Good
Browser_4756,Weather,5.0,44,102.1,1000,Free,0.0,Everyone,Weather;Creativity,05-08-2025,12.15.17,0.0,0.044,Low,Excellent
Chat,Game,3.9,112360,90.05,5000000,Free,0.0,Everyone,Game;RPG,14-09-2025,Varies with device,0.0,0.022472,Very High,Good
Chat 2023,Entertainment,4.1,1683,92.7,50000,Free,0.0,Everyone,Entertainment,09-01-2025,14.1.76,0.0,0.03366,Medium,Good
Chat 2024,Lifestyle,3.9,2805,20.1,100000,Paid,2.99,Everyone,Lifestyle,25-11-2025,9.7.63,299000.0,0.02805,Medium,Good
Chat 2025,Productivity,3.3,69,33.0,5000,Free,0.0,Everyone,Productivity,30-11-2025,7.2.22,0.0,0.0138,Low,Average
Chat 2026,Music,3.6,10,6.9,1000,Paid,4.99,Everyone,Tools;Creativity,13-12-2023,1.20.2,4990.0,0.01,Low,Good
Chat 3D,Maps_And_Navigation,3.8,2490,131.5,50000,Free,0.0,Everyone,Maps And Navigation;Creativity,19-04-2026,9.0.80,0.0,0.0498,Medium,Good
Chat 3D 2024,Game,4.4,71,328.2,5000,Free,0.0,Everyone,Game;Shooter,24-01-2025,11.16.74,0.0,0.0142,Low,Good
Chat AI,Finance,3.4,16759,102.8,1000000,Free,0.0,Everyone,Finance,18-07-2025,1.19.29,0.0,0.016759,High,Average
Chat App,Shopping,3.5,299,5.2,10000,Free,0.0,Everyone,Shopping,22-05-2026,13.13.32,0.0,0.0299,Low,Average
Chat App 2024,Food_And_Drink,3.3,5,90.05,10,Free,0.0,Teen,Food And Drink,23-04-2026,Varies with device,0.0,0.5,Low,Average
Chat App 2025,Books_And_Reference,3.6,22,17.9,1000,Free,0.0,Everyone,Books And Reference;Creativity,13-03-2025,7.18.15,0.0,0.022,Low,Good
Chat Go,Music,3.9,2296,59.7,100000,Free,0.0,Everyone,Tools,06-02-2025,11.0.87,0.0,0.02296,Medium,Good
Chat Go 2024,Libraries_And_Demo,4.7,12,90.05,1000,Paid,0.99,Mature 17+,Libraries And Demo,01-02-2026,Varies with device,990.0,0.012,Low,Excellent
Chat Go 2026,Sports,3.9,4,27.3,100,Free,0.0,Everyone,Sports;Creativity,21-04-2026,10.18.2,0.0,0.04,Low,Good
Chat Hub,Social,3.5,19128,57.4,500000,Free,0.0,Teen,Family,10-11-2025,6.14.29,0.0,0.038256,High,Average
Chat Hub 2023,Finance,3.4,166,92.1,5000,Free,0.0,Everyone,Finance,08-11-2025,9.7.67,0.0,0.0332,Low,Average
Chat Max,Weather,4.4,176,20.3,5000,Free,0.0,Mature 17+,Weather,05-03-2026,5.17.21,0.0,0.0352,Low,Good
Chat Now,Music,4.6,133800,125.2,5000000,Free,0.0,Everyone,Tools,10-06-2025,1.7.13,0.0,0.02676,Very High,Excellent
Chat Now 2023,House_And_Home,4.0,3,42.7,100,Free,0.0,Everyone,House And Home,20-09-2025,12.1.6,0.0,0.03,Low,Good
Chat Now 2024,Food_And_Drink,4.4,264,108.2,10000,Free,0.0,Everyone,Food And Drink,16-06-2026,9.2.61,0.0,0.0264,Low,Good
Chat Online,Game,5.0,1990072,321.5,50000000,Free,0.0,Everyone,Game;Action,17-09-2023,8.1.82,0.0,0.03980144,Very High,Excellent
Chat Online 2025,Books_And_Reference,3.8,1,120.1,50,Free,0.0,Everyone,Books And Reference,12-01-2024,10.9.2,0.0,0.02,Low,Good
Chat Plus,Productivity,4.7,2109,93.7,100000,Free,0.0,Everyone,Productivity,25-06-2026,14.17.34,0.0,0.02109,Medium,Excellent
Chat Plus 2025,Game,4.3,0,90.05,50,Free,0.0,Everyone,Game;Puzzle,18-10-2025,Varies with device,0.0,0.0,Low,Good
Chat Premium,Social,5.0,195989,146.6,5000000,Free,0.0,Everyone,Artificial Intelligence,26-10-2023,10.3.93,0.0,0.0391978,Very High,Excellent
Chat Premium 2023,Business,3.8,2,105.9,100,Free,0.0,Everyone,Business,08-05-2024,2.11.55,0.0,0.02,Low,Good
Chat Premium 2024,Communication,3.4,228,111.1,10000,Free,0.0,Unrated,Communication;Creativity,18-02-2026,7.15.44,0.0,0.0228,Low,Average
Chat Pro,Game,3.6,4833,1841.8,500000,Free,0.0,Adults only 18+,Game;RPG,05-05-2026,2.8.55,0.0,0.009666,High,Good
Chat Pro 2023,Finance,4.0,1,6.1,100,Free,0.0,Everyone,Finance,27-04-2024,3.13.42,0.0,0.01,Low,Good
Chat Pro 2024,Libraries_And_Demo,3.7,5,27.2,100,Free,0.0,Everyone,Libraries And Demo,06-02-2024,13.4.0,0.0,0.05,Low,Good
Chat Pro 2025,Music,2.7,21,21.6,500,Free,0.0,Everyone,Tools;Creativity,12-05-2024,11.6.30,0.0,0.042,Low,Average
Chat Space,Finance,3.5,161,18.3,10000,Free,0.0,Everyone,Finance,09-02-2024,2.16.58,0.0,0.0161,Low,Average
Chat_7047,Productivity,4.0,1,103.0,50,Free,0.0,Everyone,Productivity;Creativity,11-12-2025,5.5.23,0.0,0.02,Low,Good
ChatGPT,Social,5.0,1473707,15.6,100000000,Free,0.0,Everyone,Artificial Intelligence;Creativity,19-03-2026,5.18.66,0.0,0.01473707,Very High,Excellent
ChatGPT 2024,Music,4.1,23954,86.3,1000000,Free,0.0,Everyone,Tools;Creativity,21-04-2025,12.3.91,0.0,0.023954,High,Good
Connect,Game,4.4,352424,337.0,10000000,Free,0.0,Everyone 10+,Game;Casual,14-01-2026,5.6.77,0.0,0.0352424,Very High,Good
Connect 2023,Productivity,3.8,1146,40.8,50000,Free,0.0,Everyone,Productivity;Creativity,07-07-2025,7.20.54,0.0,0.02292,Medium,Good
Connect 2024,Finance,4.2,1369,64.2,50000,Free,0.0,Everyone,Finance;Creativity,18-06-2026,6.6.30,0.0,0.02738,Medium,Good
Connect 2025,Productivity,4.2,33431,84.3,5000000,Free,0.0,Adults only 18+,Productivity;Creativity,12-02-2025,3.15.53,0.0,0.0066862,Very High,Good
Connect 2026,Productivity,3.9,32,10.5,1000,Free,0.0,Teen,Productivity,25-12-2025,14.7.54,0.0,0.032,Low,Good
Connect AI,Social,5.0,4928,80.6,100000,Free,0.0,Everyone,Family,11-03-2025,12.13.1,0.0,0.04928,Medium,Excellent
Connect App,Social,4.3,84443,113.8,5000000,Free,0.0,Everyone 10+,Artificial Intelligence,29-07-2025,2.18.39,0.0,0.0168886,Very High,Good
Connect Go,Lifestyle,4.2,24347,61.8,500000,Free,0.0,Everyone 10+,Lifestyle,08-03-2024,5.1.79,0.0,0.048694,High,Good
Connect Go 2024,Game,4.3,3,279.3,500,Free,0.0,Everyone,Game;Simulation,22-02-2026,9.0.74,0.0,0.006,Low,Good
Connect Go 2025,Virtual_Reality,4.5,5,168.3,50,Free,0.0,Everyone,Virtual Reality;Creativity,28-01-2025,1.9.95,0.0,0.1,Low,Good
Connect Go 2026,Personalization,3.3,130,73.2,5000,Free,0.0,Everyone,Personalization,24-03-2026,9.3.20,0.0,0.026,Low,Average
Connect Go_4846,Social,4.3,0,134.8,10,Free,0.0,Everyone,Artificial Intelligence,25-05-2026,6.12.76,0.0,0.0,Low,Good
Connect Hub,Social,4.0,4435,120.6,100000,Free,0.0,Everyone,Artificial Intelligence,09-05-2026,2.19.50,0.0,0.04435,Medium,Good
Connect Hub 2024,Music,4.1,5,10.6,100,Free,0.0,Everyone,Tools,27-07-2025,9.0.44,0.0,0.05,Low,Good
Connect Max,Social,4.7,1561,6.1,50000,Free,0.0,Everyone,Education,04-09-2025,12.7.56,0.0,0.03122,Medium,Excellent
Connect Max 2023,Social,3.9,4,38.0,50,Paid,9.99,Everyone,Social,28-03-2026,2.2.69,499.5,0.08,Low,Good
Connect Max 2024,Game,5.0,10120,90.05,500000,Free,0.0,Everyone,Game;Simulation,26-04-2026,Varies with device,0.0,0.02024,High,Excellent
Connect Max 2026,Personalization,4.5,233,144.2,10000,Free,0.0,Everyone,Personalization,23-02-2026,10.2.88,0.0,0.0233,Low,Good
Connect Now,Game,4.8,23,90.05,1000,Free,0.0,Everyone,Game;RPG,22-08-2025,Varies with device,0.0,0.023,Low,Excellent
Connect Now 2023,Books_And_Reference,3.8,3,39.3,10,Free,0.0,Everyone,Books And Reference;Creativity,17-10-2024,3.3.26,0.0,0.3,Low,Good
Connect Now 2026,Game,4.3,2,1192.9,50,Free,0.0,Everyone,Game;Board,27-02-2026,4.13.31,0.0,0.04,Low,Good
Connect Online,Social,2.7,162,72.2,5000,Paid,1.99,Teen,Social,16-07-2025,1.3.98,9950.0,0.0324,Low,Average
Connect Plus,Game,4.3,186,90.05,5000,Free,0.0,Teen,Game;Simulation,04-02-2025,Varies with device,0.0,0.0372,Low,Good
Connect Premium,Game,4.5,11791,90.05,500000,Free,0.0,Everyone 10+,Game;Card,18-07-2025,Varies with device,0.0,0.023582,High,Good
Connect Premium 2023,Productivity,4.4,9,70.9,500,Free,0.0,Everyone,Productivity,27-04-2024,2.5.7,0.0,0.018,Low,Good
